account,filename
@AmazonHelp,amazon
@StarbucksHelp,starbucks
@AskPlayStation,playstation
@SamsungSupport,samsung
@WholeFoods,wholefoods
@SonySupportUSA,sony
@MichaelKors,michealkors
@McDonalds,mcdonalds
@CalvinKlein,calvinklein
@EtsyHelp,etsy
@help_nintendo,nintendo
@addthis,addthis
@someecards,someecards
@SUBWAY,subway
@TOMS,toms
@threadhelp,threadless
@Forever21Help,forever21
@Treyarch,treyarch
@JetBlue,jetblue
@AppleSupport,apple
@Uber_Support,uber
@SpotifyCares,spotify
@comcastcares,comcast
